2026-05-21T01:22:17.852612-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 3 vars, 1 cons, mip=true
2026-05-21T01:26:08.955473-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:26:08.955524-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 3 cons, mip=false
2026-05-21T01:26:08.974373-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:26:08.988242-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 2 cons, mip=false
2026-05-21T01:26:08.988291-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:26:08.994372-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:26:09.006655-05:00 WARN roml::model - Uncommitted parameter changes detected, auto-committing
2026-05-21T01:26:09.006689-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:04.493932-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:04.494061-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:04.494171-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:27:04.494283-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 1 cons, mip=false
2026-05-21T01:27:04.494404-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 3 cons, mip=false
2026-05-21T01:27:04.507325-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:04.532156-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:04.540107-05:00 WARN roml::model - Uncommitted parameter changes detected, auto-committing
2026-05-21T01:27:04.540138-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:04.547398-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 2 cons, mip=false
2026-05-21T01:27:04.547458-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:27:59.017590-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:59.017683-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 1 cons, mip=false
2026-05-21T01:27:59.017768-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 3 cons, mip=false
2026-05-21T01:27:59.017844-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:27:59.017916-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:27:59.037897-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:02.416012-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:02.416128-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:28:02.416225-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 3 vars, 1 cons, mip=true
2026-05-21T01:28:02.416747-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:28:02.416836-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:02.416897-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 3 cons, mip=false
2026-05-21T01:28:02.416952-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:02.416998-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 1 cons, mip=false
2026-05-21T01:28:02.424550-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:02.441988-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 2 cons, mip=false
2026-05-21T01:28:02.442035-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:28:02.448273-05:00 WARN roml::model - Uncommitted parameter changes detected, auto-committing
2026-05-21T01:28:02.448290-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:02.459948-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:38.975049-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 3 vars, 1 cons, mip=true
2026-05-21T01:28:38.976164-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:38.976263-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:38.976351-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 1 cons, mip=false
2026-05-21T01:28:38.976432-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:28:38.976525-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 3 cons, mip=false
2026-05-21T01:28:38.987133-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:39.007981-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:39.014749-05:00 WARN roml::model - Uncommitted parameter changes detected, auto-committing
2026-05-21T01:28:39.014796-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:28:39.028730-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 2 cons, mip=false
2026-05-21T01:28:39.028788-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:29:54.008266-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:29:54.008588-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:29:54.008617-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
2026-05-21T01:29:54.008646-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 1 cons, mip=false
2026-05-21T01:29:54.008747-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 2 vars, 3 cons, mip=false
2026-05-21T01:29:54.035226-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:29:54.041737-05:00 WARN roml::model - Uncommitted parameter changes detected, auto-committing
2026-05-21T01:29:54.041772-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:29:54.048371-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 0 cons, mip=false
2026-05-21T01:29:54.054901-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 2 cons, mip=false
2026-05-21T01:29:54.055062-05:00 INFO roml_mosek::adapter - Starting MOSEK solve: 1 vars, 1 cons, mip=false
